,text,category,rank
0,8 hours ,SLEEP,4
1,"Stress free today, until now bc the rain and driving on highway! Probably a little more than 32 oz ",WATER,3
2,"Need to step it up, got a Greek salad wrap but also came with breakfast potatoes that I ate (couldn't resist)",FOOD,2
3,And I am going to dinner now ,FOOD,3
4,9:30?,WORKOUT,Can't rate
5,ate well but didn't really pace myself at dinner so felt very full ,FOOD,3
6,Not yet still In Bed😬,WORKOUT,Can't rate
7,Liked “not a bad morning!   tomorrow am session?”,FOOD,Can't rate
8,7,SLEEP,3
9,Yes - ,WORKOUT,Can't rate
10,On point ,FOOD,4
11,7 hrs ,SLEEP,3
12,Almost perfect ,FOOD,3
13,32 oz,WATER,3
14,Stress free ,STRESS,4
15,Just finished ,WORKOUT,Can't rate
16,Need to step it up ,FOOD,2
17,Only 16 oz,WATER,2
18,7hrs,SLEEP,3
19,Yes worked out ,WORKOUT,3
20,On point with food,FOOD,4
21,Stress free,STRESS,4
22,64+ oz,WATER,4
23,6!,SLEEP,2
24,7 thank God,SLEEP,3
25,Overwhelmed and overwhelming ,STRESS,2
26,Stress free ,STRESS,4
27,5.5,SLEEP,2
28,"Had a very busy day and handled it well. 

Worked on a project due tomorrow ",STRESS,2
29,Yes ,WORKOUT,Can't rate
30,On point ,FOOD,4
31,64,WATER,4
32,Handled ,STRESS,Can't rate
33,Good workout this morning ,WORKOUT,Can't rate
34,Handled,STRESS,3
35,7,SLEEP,3
36,48 need more,WATER,3
37,No,WORKOUT,1
38,Yes,FOOD,Can't rate
39,Handled what was thrown my way,STRESS,3
40,8 hours,SLEEP,4
41,No I did not workout today,WORKOUT,1
42,64oz for sure,WATER,4
43,We are still deciding between 2 nutritionists ,STRESS,Can't rate
44,7,SLEEP,3
45,Stress free,STRESS,4
46,On point,FOOD,4
47,64,WATER,4
48,I rested and had no stress ,STRESS,4
49,I over indulged at dinner ,FOOD,3
50,Yes,WORKOUT,Can't rate
51,7 ,SLEEP,3
52,Slept about 7 hours,SLEEP,3
53,Protein shake with 1/2 banana and 1tbs pb,SLEEP,1
54,Working on 120 oz of water ,WATER,4
55,Food's been almost perfect ,FOOD,3
56,Worked out - build,WORKOUT,3
57,Handling it ,STRESS,3
59,6 ,SLEEP,2
60,64oz,WATER,4
61,Stress free,STRESS,4
62,Yes,WORKOUT,Can't rate
63,Ehhh need to step it up. Friends birthday ,FOOD,2
64,Good workout. ,WORKOUT,Can't rate
65,7.5 sleep,SLEEP,3
66,6,SLEEP,2
67,Stress free ,STRESS,4
68,Good ,FOOD,4
69,5,WORKOUT,Can't rate
70,Not good! ,FOOD,4
71,Handled what was thrown my way,STRESS,3
72,8+,SLEEP,4
73,Handled stress well,STRESS,3
74,32oz,WATER,3
75,8,SLEEP,4
77,No rest day ,WORKOUT,Can't rate
78,7,SLEEP,3
79,Home just walked 3 miles ,WORKOUT,Can't rate
80,9 hours ,SLEEP,4
81,Stress free ,STRESS,4
82,Drank probably 64 ps ,WATER,4
83,Oz ,WATER,Can't rate
84,Work out ,WORKOUT,Can't rate
85,"Had eggs and toast for breakfast, Caesar salad for lunch, chicken parm for dinner, almonds for snack, half a Cannoli for desert ",FOOD,3
86,Good wkfkoht,WORKOUT,Can't rate
87,7 hours,SLEEP,3
88,6,SLEEP,2
89,7 hrs ,SLEEP,3
90,Less than 5,SLEEP,2
91,Stress free,STRESS,4
92,Almost perfect,FOOD,3
93,"32
Yes",WATER,3
94,8 hrs,SLEEP,4
95,Overwhelmed,STRESS,2
96,32oz,WATER,3
97,On point food,FOOD,4
98,7-8,SLEEP,3
99,Food. High carbs,FOOD,Can't rate
100,Stress emotional day highs and lows,STRESS,Can't rate
101,Need more,FOOD,2
102,I wanted to quit at mile 3. I was like why am i doing this then I realized its not about me its about all the people that i will inspire after I finish ,SLEEP,1
103,Over,WATER,Can't rate
104,6,SLEEP,2
105,On point,FOOD,4
106,Sips,WATER,2
107,Shut down,STRESS,Can't rate
108,About 6 hrs ,SLEEP,2
109,Stress free so far,STRESS,4
110,About 80oz,WATER,4
111,"My day just got derailed big time, trying to get to get my shit together",STRESS,1
112,Not yet,WORKOUT,Can't rate
113,On point ,FOOD,4
114,Slept 5 hours,SLEEP,2
115,Did build ,WORKOUT,Can't rate
116,7,SLEEP,3
117,Almost perfect,FOOD,3
118,None dehydrated for sure,WATER,3
119,Overwhelmed,STRESS,2
120,On point,FOOD,4
121,Yes,WORKOUT,4
122,8,SLEEP,4
123,Almost perfect t,FOOD,3
124,Stress free,STRESS,4
125,64 for sure,WATER,4
126,38,WATER,3
127,8 hours,SLEEP,4
128,On point ,FOOD,4
129,64oz for sure,WATER,4
130,Slept 5 hours ,SLEEP,1
131,Worked out - boost,WORKOUT,3
132,Breakfast was a banana and 1tbs pb,FOOD,4
133,Stress free - but in a weird way,STRESS,4
134,64 oz for sure,WATER,4
135,Summer fruit is soooo good and no one ever got fat eating cherries.,FOOD,4
136,"Had a great workout.
Ate bread at dinner. It was great! But that wasn't what I wanted to do.",FOOD,4
137,6,SLEEP,2
138,Almost perfect,FOOD,3
139,Less than 6 ,SLEEP,2
140,Up and down with stress. ,STRESS,1
141,42,WATER,3
142,Haven't eaten much ,FOOD,Can't rate
143,Stress free,STRESS,4
144,Not great just had an acai fruit bowl with breakfast but at like 1:00 bc got up late ,SLEEP,1
145,Ya ,WORKOUT,Can't rate
146,Not much ,WATER,Can't rate
147,"Too much to handle, shut down",STRESS,1
148,Less than 5,SLEEP,1
149,No,STRESS,Can't rate
150,7 hrs ,SLEEP,3
151,"Did well wandered around NYC and Brooklyn.  Visiting old neighborhoods  
Do better went to sleep too late. ",SLEEP,Can't rate
152,5.5,SLEEP,2
153,Stress free Sunday ,STRESS,4
154,48,WATER,3
155,Yes ran 5k then did yoga,SLEEP,2
156,"Got my new phone set up quickly and did not stress about it. 
Do better plan week better. ",STRESS,Can't rate
157,"I decided I'm retired from ""work"" on Saturday and Sundays.  If it's fun then it's not work. ",WORKOUT,Can't rate
158,Slept 6 hours,SLEEP,2
159,9 hrs ,SLEEP,4
160,Not yet ,FOOD,1
161,Stress free ,STRESS,4
162,Almost perfect,FOOD,3
163,90 ozs ,WATER,4
164,8,SLEEP,4
165,Not good,FOOD,1
166,About 6 hrs ,SLEEP,2
167,6.5 hrs ,SLEEP,3
168,Stress free ,STRESS,4
169,Food is almost perfect,FOOD,3
170,64+,WATER,4
171,This week I will work on sleep! Progress!,SLEEP,Can't rate
172,6 hrs ,SLEEP,2
173,64+,WATER,4
174,"This morning wasn't looking so good, was definitely having a mental issue witch was setting me up for derailment. Things got changed around in my workout, which made me look at the positive and I carried that attitude all day!",WORKOUT,Can't rate
175,"Yes, and it was great ",WORKOUT,4
176,"Almost perfect, need to go home and eat. ",FOOD,3
177,Stress free ,STRESS,4
178,Yeah that my sleep sucks ,SLEEP,Can't rate
179,6.5,SLEEP,2
180,Inspire ,STRESS,Can't rate
181,On point ,FOOD,4
182,8 hours,SLEEP,4
183,64oz,WATER,4
184,Stress free,STRESS,4
185,Didn't workout today. My back is hurting so taking a rest day,WORKOUT,Can't rate
186,Stress fee thus far ,STRESS,3
187,7:17,SLEEP,3
188,Yes ,WORKOUT,Can't rate
189,On point ,FOOD,4
190,6 hours,SLEEP,2
191,On point ,FOOD,4
192,Handled what was thrown my way,STRESS,3
193,Good!,FOOD,4
194,Well: I logged my food and ate way better than I had been during the holidays and drank a ton of water. Better: could have gotten more sleep last night,FOOD,4
195,64oz for sure,WATER,4
196,8hrs,SLEEP,4
197,Stressed out,STRESS,1
198,32oz,WATER,3
200,64 oz ,WATER,4
201,6,SLEEP,2
202,6,SLEEP,2
203,Less than 5,SLEEP,2
204,No. 4:30 this afternoon,SLEEP,1
205,On point ,FOOD,4
206,Handled what was thrown my way very well ,STRESS,3
207,64,WATER,4
208,Stress free,STRESS,4
209,Nope. Rest day ,WORKOUT,Can't rate
210,6 ,SLEEP,2
211,8 hours,SLEEP,4
212,8,SLEEP,4
213,5k today,SLEEP,2
